,module_short,func_short,mean_cpu,std_cpu
1,fast,NEWIMAGE::convolve,68.8957857,2.6881295323361
2,fast,ZMRISegmentation::MRFWeightsInner,20.906768,2.748774035875514
3,fast,ZMRISegmentation::UpdateMembers,4.03871925,0.5665894242805042
4,fast,NEWIMAGE::volume::operator(),4.0094005500000005,0.6029612405690569
5,fast,ZMRISegmentation::MRFWeightsAM,3.767333,0.5794468256508462
6,libm-2.31.so,exp,7.3494817999999995,1.0466682254500206
7,libm-2.31.so,func@0x80fa4,6.8390349,0.8157272995067785
8,libc-2.31.so,func@0x18b644,6.37068685,0.2536599984636033
9,libfsl-newimage.so,NEWIMAGE::maskedIterator::operator++,5.0453295,0.22166972543723928
