,module_short,func_short,mean_cpu,std_cpu
1,fast,NEWIMAGE::convolve,68.92610705,2.774035835269833
2,fast,ZMRISegmentation::MRFWeightsInner,20.7431339,2.7299544018249584
3,fast,ZMRISegmentation::UpdateMembers,4.06553205,0.573630531141915
4,fast,NEWIMAGE::volume::operator(),4.03070035,0.6547678531469456
5,fast,ZMRISegmentation::MRFWeightsAM,3.6568236499999998,0.5088674673775992
6,libm-2.31.so,exp,7.3031227,0.9892695084723188
7,libm-2.31.so,func@0x80fa4,6.7996925500000005,0.8623781372132637
8,libc-2.31.so,func@0x18b644,6.385221,0.25380633121131435
9,libfsl-newimage.so,NEWIMAGE::maskedIterator::operator++,5.0556035999999995,0.21422088816561094
