,module_short,func_short,mean_cpu,std_cpu
1,fast,NEWIMAGE::convolve,68.02529694444445,0.6401152099398949
2,fast,ZMRISegmentation::MRFWeightsInner,18.59330827777778,1.7663648910866236
3,fast,ZMRISegmentation::UpdateMembers,3.887167777777778,0.3889365127044414
4,[Outside any module],[Outside any known module],37.6325943125,56.0621604112297
5,libm-2.31.so,exp,6.5649609714285715,1.1375898538924685
6,libm-2.31.so,func@0x80fa4,6.300627057142857,0.6614800058566502
7,libc-2.31.so,func@0x18b644,5.698087135135135,1.4168733149299426
8,libfsl-newimage.so,NEWIMAGE::maskedIterator::operator++,4.798749264705883,0.07227272506290819
